Game Code,Drive Number,Team Code,Start Period,Start Clock,Start Spot,Start Reason,End Period,End Clock,End Spot,End Reason,Plays,Yards,Time Of Possession,Red Zone Attempt
0630065720230826,1,630,1,900,75,KICKOFF,1,613,47,PUNT,8,28,287,0
0630065720230826,2,657,1,613,80,PUNT,1,392,0,TOUCHDOWN,10,80,221,1
0630065720230826,3,630,1,384,72,KICKOFF,2,852,0,TOUCHDOWN,12,72,432,1
0630065720230826,4,657,2,852,75,KICKOFF,2,765,85,PUNT,3,-10,87,0
0630065720230826,5,630,2,765,57,PUNT,2,686,60,PUNT,3,-3,79,0
0630065720230826,6,657,2,686,92,PUNT,2,578,0,TOUCHDOWN,4,92,108,0
0630065720230826,7,630,2,578,75,KICKOFF,2,483,74,PUNT,3,1,95,0
0630065720230826,8,657,2,483,52,PUNT,2,211,0,TOUCHDOWN,10,52,272,1
0630065720230826,9,630,2,205,78,KICKOFF,2,95,56,PUNT,4,22,110,0
0630065720230826,10,657,2,95,80,PUNT,2,27,95,PUNT,3,-15,68,0
0630065720230826,11,630,2,27,46,PUNT,2,8,0,TOUCHDOWN,4,46,19,0
0630065720230826,12,657,2,8,75,KICKOFF,2,0,76,END OF HALF,1,-1,8,0
0630065720230826,13,657,3,900,75,KICKOFF,3,645,0,TOUCHDOWN,10,75,255,1
0630065720230826,14,630,3,645,65,KICKOFF,3,455,56,PUNT,6,9,190,0
0630065720230826,15,657,3,455,52,PUNT,3,360,0,TOUCHDOWN,5,52,95,0
0630065720230826,16,630,3,360,75,KICKOFF,3,110,0,TOUCHDOWN,9,75,250,0
0630065720230826,17,630,3,94,75,KICKOFF,3,0,70,PUNT,3,5,94,0
0630065720230826,18,657,3,0,55,PUNT,4,748,0,TOUCHDOWN,6,55,152,1
0630065720230826,19,630,4,748,75,KICKOFF,4,664,70,PUNT,3,5,84,0
0630065720230826,20,657,4,664,78,PUNT,4,413,0,TOUCHDOWN,9,78,251,1
0630065720230826,21,630,4,407,85,KICKOFF,4,308,0,TOUCHDOWN,4,85,99,1
0630065720230826,22,630,4,304,54,KICKOFF,4,223,26,DOWNS,6,28,81,0
0630065720230826,23,657,4,223,74,DOWNS,4,2,46,DOWNS,8,28,221,0
0630065720230826,24,630,4,2,53,DOWNS,4,0,17,END OF HALF,1,36,2,0
0231036620230826,1,231,1,900,75,KICKOFF,1,846,0,TOUCHDOWN,3,75,54,0
0231036620230826,2,366,1,846,75,KICKOFF,1,625,59,PUNT,8,16,221,0
0231036620230826,3,231,1,625,85,PUNT,1,487,77,PUNT,3,8,138,0
0231036620230826,4,366,1,487,58,PUNT,1,432,45,INTERCEPTION,3,13,55,0
0231036620230826,5,231,1,432,56,INTERCEPTION,1,282,0,TOUCHDOWN,5,56,150,1
0231036620230826,6,366,1,275,74,KICKOFF,2,844,23,FIELD GOAL,9,51,331,0
0231036620230826,7,231,2,844,75,KICKOFF,2,606,26,FIELD GOAL,8,49,238,0
0231036620230826,8,366,2,606,75,KICKOFF,2,261,20,MISSED FIELD GOAL,11,55,345,1
0231036620230826,9,231,2,261,80,MISSED FIELD GOAL,2,237,80,PUNT,3,0,24,0
0231036620230826,10,366,2,237,64,PUNT,2,228,0,TOUCHDOWN,1,64,9,0
